   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.14.4156
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.10.3308
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.10.3277
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412, AdapterDriverVersion: 10.18.10.3412
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.18.10.3071
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.3372
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2875
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 8.15.10.2656
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3431
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3316
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 9.18.10.3071
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 9.17.10.2867
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 8.15.10.2712
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 10.18.10.3993
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 10.18.10.3621
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterDriverVersion: 9.17.10.2932
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3040
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2752
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2712
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2696
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2401
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2353
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3062
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.2963
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2559
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2361
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2353
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.2867
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2669
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2656
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2559
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2418
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2372
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2361
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2025
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2021
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2827
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2104
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13c2, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1380, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1244, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1189, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x104a, AdapterDriverVersion: 9.18.13.2723
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1004, AdapterDriverVersion: 9.18.13.4788
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterDriverVersion: 9.18.13.697
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a70, AdapterDriverVersion: 8.17.12.5957
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 9.18.13.4144
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 9.18.13.1422
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 8.17.11.9745
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a20, AdapterDriverVersion: 9.18.13.4052
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a20, AdapterDriverVersion: 8.17.11.9621
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06e4, AdapterDriverVersion: 9.18.13.4052
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0641, AdapterDriverVersion: 9.18.13.4144
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0404, AdapterDriverVersion: 9.18.13.4052
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9993, AdapterDriverVersion: 13.251.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9993, AdapterDriverVersion: 12.102.1.1000
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9838, AdapterDriverVersion: 13.250.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806, AdapterDriverVersion: 14.301.1001.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68f9, AdapterDriverVersion: 8.740.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e4, AdapterDriverVersion: 8.771.1.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x67b0, AdapterDriverVersion: 14.501.1003.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x679a, AdapterDriverVersion: 14.501.1003.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.901.3.5000
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.783.2.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6719, AdapterDriverVersion: 14.501.1003.0
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2302
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2021
