   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dbe105b, AdapterDriverVersion: 8.15.10.2104
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04051025, AdapterDriverVersion: 8.15.10.2869
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04051025, AdapterDriverVersion: 8.15.10.1995
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2141
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 20e417aa, AdapterDriverVersion: 8.15.10.2555
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2869
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1883
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 30c9103c, AdapterDriverVersion: 8.15.10.1749
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 11231734, AdapterDriverVersion: 8.15.10.1749
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 02001028, AdapterDriverVersion: 8.15.10.1749
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616, AdapterSubsysID: 2296103c, AdapterDriverVersion: 10.18.10.3960
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 380d17aa, AdapterDriverVersion: 10.18.10.3379
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 06511028, AdapterDriverVersion: 10.18.10.3412
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.10.3186
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 397717aa, AdapterDriverVersion: 10.18.10.3958
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3621
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterSubsysID: 138d1043, AdapterDriverVersion: 9.17.10.3062
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2932
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2828
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2752
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2712
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 20178086, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 1494103c, AdapterDriverVersion: 8.15.10.2253
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 1439103c, AdapterDriverVersion: 8.15.10.2189
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 06011025, AdapterDriverVersion: 8.15.10.2182
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 03701025, AdapterDriverVersion: 8.15.10.2057
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 00368086, AdapterDriverVersion: 8.15.10.2993
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1200, AdapterSubsysID: 23821462, AdapterDriverVersion: 9.18.13.2049
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.17.12.5896
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 34d51458, AdapterDriverVersion: 9.18.13.3165
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.17.12.8026
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9900, AdapterSubsysID: 18a6103c, AdapterDriverVersion: 13.351.1001.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9834, AdapterSubsysID: 380217aa, AdapterDriverVersion: 12.102.1.1000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x94c9, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.902.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x683f, AdapterSubsysID: 25511458, AdapterDriverVersion: 14.502.1014.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 21081043, AdapterDriverVersion: 8.880.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterSubsysID: 1657103c, AdapterDriverVersion: 8.810.4.1000
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 75921462, AdapterDriverVersion: 8.15.10.2281
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 434e8086, AdapterDriverVersion: 8.15.10.1883
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31351019, AdapterDriverVersion: 8.15.10.2281
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31031565, AdapterDriverVersion: 8.15.10.1883
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 305d17aa, AdapterDriverVersion: 8.15.10.2869
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 305d17aa, AdapterDriverVersion: 8.15.10.2555
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.1872
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.1892
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.1851
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22601019, AdapterDriverVersion: 8.15.10.2302
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 043e1028, AdapterDriverVersion: 8.15.10.2302
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 03901025, AdapterDriverVersion: 8.15.10.2869
