   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2361
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.3223
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.3040
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2712
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2669
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2656
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2291
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2476
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2361
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2086
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2057
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2858
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2141
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1380, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1201, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1183, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1180, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c5, AdapterDriverVersion: 8.17.12.5965
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3, AdapterDriverVersion: 9.18.13.4052
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1040, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ffa, AdapterDriverVersion: 9.18.13.1090
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterDriverVersion: 9.18.13.4788
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterDriverVersion: 9.18.13.1106
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0e23, AdapterDriverVersion: 9.18.13.4475
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca2, AdapterDriverVersion: 9.18.13.3165
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 9.18.13.4144
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 8.17.12.6658
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 8.17.12.5896
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a23, AdapterDriverVersion: 8.17.12.5896
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9993, AdapterDriverVersion: 8.947.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9809, AdapterDriverVersion: 9.12.6.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806, AdapterDriverVersion: 8.880.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68f9, AdapterDriverVersion: 9.12.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e4, AdapterDriverVersion: 8.741.1.5000
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e0, AdapterDriverVersion: 8.771.1.4000
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68b8, AdapterDriverVersion: 14.501.1003.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6899, AdapterDriverVersion: 14.501.1003.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6798, AdapterDriverVersion: 14.501.1003.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.982.10.2600
